,Age,City,Event,Games,Height,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
74930,34.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,176.0,Gold,RUS,Yekaterina Aleksandrovna Marennikova,Summer,F,Handball,Russia,149385,70.0,2016
74950,24.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,173.0,Gold,USA,Melanie Margalis,Summer,F,Swimming,United States,149423,65.0,2016
75010,22.0,Rio de Janeiro,Gymnastics Men's Floor Exercise,2016 Summer,169.0,Bronze,BRA,Arthur Nory Oyakawa Mariano,Summer,M,Gymnastics,Brazil,149540,65.0,2016
75202,28.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,199.0,Silver,SRB,Stefan Markovi,Summer,M,Basketball,Serbia,149953,96.0,2016
75285,24.0,Rio de Janeiro,"Wrestling Women's Featherweight, Freestyle",2016 Summer,163.0,Gold,USA,Helen Louise Maroulis,Summer,F,Wrestling,United States,150122,57.0,2016
75551,28.0,Rio de Janeiro,Rowing Men's Single Sculls,2016 Summer,189.0,Silver,CRO,Damir Martin,Summer,M,Rowing,Croatia,150566,97.0,2016
75850,24.0,Rio de Janeiro,Boxing Men's Light-Flyweight,2016 Summer,165.0,Silver,COL,Yurberjen Herney Martnez Rivas,Summer,M,Boxing,Colombia,151136,49.0,2016
75934,27.0,Rio de Janeiro,Athletics Women's Shot Put,2016 Summer,172.0,Bronze,HUN,Anita Mrton,Summer,F,Athletics,Hungary,151299,95.0,2016
76218,20.0,Rio de Janeiro,Swimming Women's 100 metres Backstroke,2016 Summer,173.0,Bronze,CAN,Kylie Jacqueline Masse,Summer,F,Swimming,Canada,151863,61.0,2016
76226,31.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,178.0,Bronze,GBR,Kelly Massey,Summer,F,Athletics,Great Britain,151888,57.0,2016
76433,32.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,178.0,Bronze,BAH,Michael Walter Mathieu,Summer,M,Athletics,Bahamas,152266,76.0,2016
76551,32.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,184.0,Bronze,JPN,Takeshi Matsuda,Summer,M,Swimming,Japan,152547,84.0,2016
76682,26.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,188.0,Silver,JAM,Peter Matthews,Summer,M,Athletics,Jamaica,152809,84.0,2016
76735,26.0,Rio de Janeiro,"Wrestling Women's Featherweight, Freestyle",2016 Summer,164.0,Bronze,SWE,Sofia Magdalena Mattsson,Summer,F,Wrestling,Sweden,152897,56.0,2016
76987,24.0,Rio de Janeiro,Athletics Men's Decathlon,2016 Summer,186.0,Silver,FRA,Kvin Mayer,Summer,M,Athletics,France,153402,77.0,2016
77152,33.0,Rio de Janeiro,Athletics Men's Discus Throw,2016 Summer,193.0,Silver,POL,Piotr Maachowski,Summer,M,Athletics,Poland,153743,130.0,2016
77314,19.0,Rio de Janeiro,Athletics Women's Pole Vault,2016 Summer,179.0,Bronze,NZL,Eliza McCartney,Summer,F,Athletics,New Zealand,153993,66.0,2016
77390,27.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,171.0,Gold,USA,Francena Lynette McCorory,Summer,F,Athletics,United States,154136,68.0,2016
77394,29.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,185.0,Gold,USA,Angel Lajuane McCoughtry,Summer,F,Basketball,United States,154143,70.0,2016
77475,23.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,175.0,Silver,JAM,Rusheen McDonald,Summer,M,Athletics,Jamaica,154313,81.0,2016
77505,22.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,185.0,Bronze,AUS,Cameron McEvoy,Summer,M,Swimming,Australia,154385,70.0,2016
77716,22.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,180.0,Silver,AUS,Emma McKeon,Summer,F,Swimming,Australia,154871,60.0,2016
77721,21.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,178.0,Silver,AUS,Taylor McKeown,Summer,F,Swimming,Australia,154882,65.0,2016
77784,30.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,170.0,Silver,JAM,Anneisha McLaughlin-Whilby,Summer,F,Athletics,Jamaica,154989,65.0,2016
77942,27.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,173.0,Silver,JAM,Stephenie Ann McPherson,Summer,F,Athletics,Jamaica,155260,57.0,2016
77950,26.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,181.0,Gold,USA,Tony McQuay,Summer,M,Athletics,United States,155274,72.0,2016
77955,29.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,193.0,Silver,AUS,James McRae,Summer,M,Rowing,Australia,155284,93.0,2016
78267,25.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,170.0,Gold,USA,"Catherine Michelle ""Katie"" Meili",Summer,F,Swimming,United States,155880,61.0,2016
78347,31.0,Rio de Janeiro,"Athletics Men's 3,000 metres Steeplechase",2016 Summer,190.0,Bronze,FRA,Mahiedine Mekhissi-Benabbad,Summer,M,Athletics,France,156035,75.0,2016
78441,20.0,Rio de Janeiro,Boxing Men's Middleweight,2016 Summer,177.0,Silver,UZB,Bektemir Ruzmatzhonovich Melikuziyev,Summer,M,Boxing,Uzbekistan,156195,75.0,2016
78508,16.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,151.0,Silver,RUS,Angelina Romanovna Melnikova,Summer,F,Gymnastics,Russia,156326,44.0,2016
78964,30.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,191.0,Gold,USA,LaShawn Merritt,Summer,M,Athletics,United States,157267,86.0,2016
79112,24.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,190.0,Silver,FRA,Mehdy Metella,Summer,M,Swimming,France,157584,90.0,2016
79256,32.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,Bronze,NED,Boaz Cornelius Meylink,Summer,M,Rowing,Netherlands,157885,93.0,2016
79258,29.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,190.0,Silver,FRA,William Meynard,Summer,M,Swimming,France,157888,85.0,2016
79362,36.0,Rio de Janeiro,"Wrestling Women's Middleweight, Freestyle",2016 Summer,167.0,Bronze,POL,Monika Ewa Michalik (Rogien-),Summer,F,Wrestling,Poland,158080,63.0,2016
79541,23.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,187.0,Silver,FRA,Clment Mignon,Summer,M,Swimming,France,158459,75.0,2016
79561,25.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,190.0,Silver,SRB,Brankica Mihajlovi,Summer,F,Volleyball,Serbia,158496,83.0,2016
79881,24.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,180.0,Gold,USA,Cody Miller,Summer,M,Swimming,United States,159157,80.0,2016
79938,22.0,Rio de Janeiro,Athletics Women's 400 metres,2016 Summer,185.0,Gold,BAH,Shaunae Miller (-Uibo),Summer,F,Athletics,Bahamas,159268,69.0,2016
80002,22.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,185.0,Silver,GBR,Stephen Milne,Summer,M,Swimming,Great Britain,159400,76.0,2016
80039,27.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,190.0,Bronze,SRB,Jelena Milovanovi,Summer,F,Basketball,Serbia,159475,84.0,2016
80204,21.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,178.0,Gold,JAM,Jevaughn Minzie,Summer,M,Athletics,Jamaica,159852,85.0,2016
80294,25.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,208.0,Bronze,ESP,Nikola Miroti Stajovi,Summer,M,Basketball,Spain,160013,100.0,2016
81117,25.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,178.0,Bronze,NOR,Mari Kristine Sbstad Molid,Summer,F,Handball,Norway,161585,73.0,2016
81588,30.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,189.0,Bronze,ITA,Domenico Montrone,Summer,M,Rowing,Italy,162497,97.0,2016
81671,27.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,183.0,Gold,USA,Maya April Moore,Summer,F,Basketball,United States,162647,79.0,2016
82020,22.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,184.0,Bronze,AUS,David Morgan,Summer,M,Swimming,Australia,163394,82.0,2016
82271,24.0,Rio de Janeiro,Athletics Women's Pole Vault,2016 Summer,173.0,Silver,USA,Sandi Morris,Summer,F,Athletics,United States,163921,62.0,2016
82327,26.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,190.0,Gold,DEN,Casper Ulrich Mortensen,Summer,M,Handball,Denmark,164022,88.0,2016
82474,23.0,Rio de Janeiro,Boxing Women's Lightweight,2016 Summer,168.0,Gold,FRA,Estelle Mossely,Summer,F,Boxing,France,164306,60.0,2016
82763,25.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,168.0,Bronze,NOR,Nora Mrk,Summer,F,Handball,Norway,164811,63.0,2016
82900,26.0,Rio de Janeiro,Athletics Women's 400 metres Hurdles,2016 Summer,173.0,Gold,USA,Dalilah Muhammad,Summer,F,Athletics,United States,165085,55.0,2016
82902,25.0,Rio de Janeiro,Taekwondo Men's Welterweight,2016 Summer,191.0,Silver,GBR,Lutalo Massop-Muhammad,Summer,M,Taekwondo,Great Britain,165089,80.0,2016
83359,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,Silver,GER,Maximilian Munski,Summer,M,Rowing,Germany,165984,96.0,2016
83514,21.0,Rio de Janeiro,Athletics Men's 800 metres,2016 Summer,180.0,Bronze,USA,Clayton Murphy,Summer,M,Athletics,United States,166295,68.0,2016
83534,26.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,188.0,Bronze,USA,Kelly Murphy,Summer,F,Volleyball,United States,166325,77.0,2016
83545,21.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,191.0,Gold,USA,Ryan Murphy,Summer,M,Swimming,United States,166346,91.0,2016
83571,34.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,195.0,Gold,NZL,Eric Gordon Murray,Summer,M,Rowing,New Zealand,166398,98.0,2016
83692,33.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,183.0,Gold,USA,Meghan Musnicki,Summer,F,Rowing,United States,166614,73.0,2016
83715,21.0,Rio de Janeiro,Gymnastics Women's Uneven Bars,2016 Summer,162.0,Gold,RUS,Aliya Farkhatovna Mustafina,Summer,F,Gymnastics,Russia,166660,48.0,2016
84014,25.0,Rio de Janeiro,Gymnastics Men's Pommelled Horse,2016 Summer,170.0,Bronze,USA,"Alexander Michael ""Alex"" Naddour",Summer,M,Gymnastics,United States,167240,70.0,2016
84138,19.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,166.0,Silver,RUS,Nikita Vladimirovich Nagorny,Summer,M,Gymnastics,Russia,167469,67.0,2016
84527,36.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,189.0,Silver,FRA,Daniel Narcisse,Summer,M,Handball,France,168228,93.0,2016
84598,26.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,195.0,Gold,GBR,George Christopher Nash,Summer,M,Rowing,Great Britain,168352,96.0,2016
84776,36.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,193.0,Bronze,ESP,Juan Carlos Navarro Feijoo,Summer,M,Basketball,Spain,168680,82.0,2016
84802,27.0,Rio de Janeiro,"Wrestling Men's Welterweight, Freestyle",2016 Summer,165.0,Bronze,UZB,Ikhtiyor Karimovich Navruzov,Summer,M,Wrestling,Uzbekistan,168724,65.0,2016
84850,34.0,Rio de Janeiro,Athletics Men's Hammer Throw,2016 Summer,187.0,Gold,TJK,Dilshod Nazarov,Summer,M,Athletics,Tajikistan,168806,120.0,2016
84943,21.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,195.0,Silver,ESP,Astou Barro Ndour Gueye,Summer,F,Basketball,Spain,168986,68.0,2016
84965,21.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Freestyle Relay,2016 Summer,178.0,Silver,USA,Lia Neal,Summer,F,Swimming,United States,169019,75.0,2016
84971,21.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,173.0,Silver,AUS,Leah Neale,Summer,F,Swimming,Australia,169031,66.0,2016
85029,25.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,191.0,Silver,SRB,Nemanja Nedovi,Summer,M,Basketball,Serbia,169148,90.0,2016
85141,19.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,172.0,Bronze,GBR,Daryll Saskia Neita,Summer,F,Athletics,Great Britain,169359,61.0,2016
85554,21.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,191.0,Bronze,BAH,Stephen Newbold,Summer,M,Athletics,Bahamas,170273,82.0,2016
85631,23.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,186.0,Silver,FRA,Timothey N'Guessan,Summer,M,Handball,France,170402,105.0,2016
85778,23.0,Rio de Janeiro,Taekwondo Women's Welterweight,2016 Summer,176.0,Silver,FRA,Haby Niar,Summer,F,Taekwondo,France,170670,66.0,2016
85808,27.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,190.0,Silver,ESP,Laura Nicholls Gonzlez,Summer,F,Basketball,Spain,170723,90.0,2016
86018,26.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,192.0,Gold,DEN,Michael Damgaard Nielsen,Summer,M,Handball,Denmark,171165,92.0,2016
86020,19.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,184.0,Bronze,DEN,Mie stergaard Nielsen,Summer,F,Swimming,Denmark,171173,67.0,2016
86104,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,180.0,Gold,SUI,Simon Niepmann,Summer,M,Rowing,Switzerland,171349,71.0,2016
86217,26.0,Rio de Janeiro,Boxing Men's Bantamweight,2016 Summer,165.0,Bronze,RUS,Vladimir Olegovich Nikitin,Summer,M,Boxing,Russia,171572,56.0,2016
86268,34.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,194.0,Silver,SRB,Jelena Nikoli,Summer,F,Volleyball,Serbia,171690,79.0,2016
86469,26.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,172.0,Silver,FRA,Gnonsiane Niombla,Summer,F,Handball,France,172096,69.0,2016
86589,27.0,Rio de Janeiro,Boxing Men's Light-Heavyweight,2016 Summer,180.0,Silver,KAZ,Adilbek Sabitovich Niyazymbetov,Summer,M,Boxing,Kazakhstan,172346,81.0,2016
86595,23.0,Rio de Janeiro,Athletics Women's 800 metres,2016 Summer,166.0,Silver,BDI,Francine Niyonsaba,Summer,F,Athletics,Burundi,172356,60.0,2016
87235,27.0,Rio de Janeiro,Athletics Men's Hammer Throw,2016 Summer,196.0,Bronze,POL,Wojciech Nowicki,Summer,M,Athletics,Poland,173647,128.0,2016
87255,35.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,199.0,Gold,DEN,Jesper Nddesbo,Summer,M,Handball,Denmark,173690,100.0,2016
87552,30.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,189.0,Silver,FRA,Guy Olivier Nyokas,Summer,M,Handball,France,174333,86.0,2016
87584,24.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,178.0,Silver,FRA,Estelle Nze Minko,Summer,F,Handball,France,174392,67.0,2016
87710,24.0,Rio de Janeiro,Rowing Women's Lightweight Double Sculls,2016 Summer,165.0,Silver,CAN,Patricia Obee,Summer,F,Rowing,Canada,174611,60.0,2016
87792,26.0,Rio de Janeiro,"Athletics Women's 5,000 metres",2016 Summer,160.0,Silver,KEN,Hellen Onsando Obiri,Summer,F,Athletics,Kenya,174764,50.0,2016
87890,20.0,Rio de Janeiro,Swimming Women's 200 metres Individual Medley,2016 Summer,173.0,Silver,GBR,Siobhan-Marie O'Connor,Summer,F,Swimming,Great Britain,174941,60.0,2016
87939,25.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,191.0,Silver,GER,Hannes Ocik,Summer,M,Rowing,Germany,175033,93.0,2016
87962,23.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,172.0,Silver,IRL,Gary O'Donovan,Summer,M,Rowing,Ireland,175069,70.0,2016
87963,22.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,177.0,Silver,IRL,Paul O'Donovan,Summer,M,Rowing,Ireland,175070,70.0,2016
88115,24.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,168.0,Bronze,NOR,Stine Bredal Oftedal,Summer,F,Handball,Norway,175333,65.0,2016
88185,31.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,183.0,Silver,SRB,Maja Ognjenovi,Summer,F,Volleyball,Serbia,175460,67.0,2016
88237,28.0,Rio de Janeiro,Taekwondo Women's Welterweight,2016 Summer,182.0,Gold,KOR,Oh Hye-Ri,Summer,F,Taekwondo,South Korea,175543,69.0,2016
88316,32.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,172.0,Bronze,GBR,Christine Ijeoma Chika Ohuruogu,Summer,F,Athletics,Great Britain,175703,70.0,2016
88461,33.0,Rio de Janeiro,Swimming Women's 10 kilometres Open Water,2016 Summer,165.0,Bronze,BRA,Poliana Okimoto-Cintra,Summer,F,Swimming,Brazil,175986,52.0,2016
88474,22.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,173.0,Gold,USA,Courtney Okolo,Summer,F,Athletics,United States,176012,59.0,2016
88651,16.0,Rio de Janeiro,Swimming Women's 100 metres Butterfly,2016 Summer,185.0,Silver,CAN,"Penelope ""Penny"" Oleksiak",Summer,F,Swimming,Canada,176304,68.0,2016
88788,20.0,Rio de Janeiro,Swimming Men's 10 kilometres Open Water,2016 Summer,183.0,Bronze,FRA,Marc-Antoine Olivier,Summer,M,Swimming,France,176580,64.0,2016
88896,31.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,184.0,Gold,DEN,Morten Olsen,Summer,M,Handball,Denmark,176797,95.0,2016
89072,39.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,192.0,Silver,FRA,Thierry Omeyer,Summer,M,Handball,France,177165,93.0,2016
89216,31.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,178.0,Bronze,GBR,"Nwanyika Jenete C. ""Anyika"" Onuora",Summer,F,Athletics,Great Britain,177501,76.0,2016
89300,22.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,186.0,Bronze,ROU,Laura Oprea,Summer,F,Rowing,Romania,177678,75.0,2016
89553,25.0,Rio de Janeiro,Athletics Men's 110 metres Hurdles,2016 Summer,182.0,Silver,ESP,Orlando Ortega Alejo,Summer,M,Athletics,Spain,178179,77.0,2016
89927,22.0,Rio de Janeiro,"Wrestling Men's Featherweight, Greco-Roman",2016 Summer,165.0,Silver,JPN,Shinobu Ota,Summer,M,Wrestling,Japan,178948,65.0,2016
90004,28.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,178.0,Bronze,DEN,Jeanette Ottesen Gray,Summer,F,Swimming,Denmark,179109,70.0,2016
90085,20.0,Rio de Janeiro,Taekwondo Men's Welterweight,2016 Summer,199.0,Bronze,TUN,Oussama Al-Oueslati,Summer,M,Taekwondo,Tunisia,179288,80.0,2016
90122,21.0,Rio de Janeiro,Boxing Men's Lightweight,2016 Summer,174.0,Silver,FRA,Sofiane Oumiha,Summer,M,Boxing,France,179338,60.0,2016
90133,34.0,Rio de Janeiro,Boxing Women's Flyweight,2016 Summer,158.0,Silver,FRA,Sarah Ourahmoune,Summer,F,Boxing,France,179350,51.0,2016
90179,18.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,170.0,Bronze,CAN,Emily Overholt,Summer,F,Swimming,Canada,179449,55.0,2016
90447,22.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,195.0,Bronze,AUS,Jake Packard,Summer,M,Swimming,Australia,179951,68.0,2016
90547,29.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,188.0,Bronze,SRB,Danielle Nicole Page,Summer,F,Basketball,Serbia,180171,77.0,2016
90729,36.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,181.0,Silver,ESP,Laia Palau Alts,Summer,F,Basketball,Spain,180519,69.0,2016
90906,21.0,Rio de Janeiro,"Swimming Men's 1,500 metres Freestyle",2016 Summer,191.0,Gold,ITA,Gregorio Paltrinieri,Summer,M,Swimming,Italy,180872,72.0,2016
90936,27.0,Rio de Janeiro,Rowing Women's Lightweight Double Sculls,2016 Summer,173.0,Bronze,CHN,Pan Feihong,Summer,F,Rowing,China,180928,57.0,2016
91878,33.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,196.0,Silver,ESP,Mara Lucila Pascua Surez,Summer,F,Basketball,Spain,182817,93.0,2016
91887,21.0,Rio de Janeiro,Gymnastics Women's Horse Vault,2016 Summer,161.0,Silver,RUS,Mariya Valeryevna Paseka,Summer,F,Gymnastics,Russia,182836,48.0,2016
92193,23.0,Rio de Janeiro,Rowing Women's Lightweight Double Sculls,2016 Summer,174.0,Gold,NED,Ilse Paulis,Summer,F,Rowing,Netherlands,183423,57.0,2016
92529,21.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,191.0,Silver,GBR,Adam George Peaty,Summer,M,Swimming,Great Britain,184116,86.0,2016
92669,27.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,174.0,Bronze,DEN,Rikke Mller Pedersen,Summer,F,Swimming,Denmark,184397,61.0,2016
92787,25.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,203.0,Bronze,GER,Hendrik Pekeler,Summer,M,Handball,Germany,184612,103.0,2016
93475,26.0,Rio de Janeiro,Athletics Women's Discus Throw,2016 Summer,183.0,Gold,CRO,Sandra Perkovi,Summer,F,Athletics,Croatia,185909,85.0,2016
94043,22.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Freestyle",2016 Summer,198.0,Bronze,GEO,Geno Petriashvili,Summer,M,Wrestling,Georgia,187113,125.0,2016
94066,25.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,190.0,Bronze,ROU,Mihaela Petril,Summer,F,Rowing,Romania,187168,74.0,2016
94094,25.0,Rio de Janeiro,Gymnastics Men's Rings,2016 Summer,164.0,Gold,GRE,Eleftherios Petrounias,Summer,M,Gymnastics,Greece,187216,62.0,2016
94139,34.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,178.0,Gold,RUS,Mayya Andreyevna Petrova (Kaverina-),Summer,F,Handball,Russia,187287,71.0,2016
94165,27.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,188.0,Bronze,SRB,Sonja Petrovi,Summer,F,Basketball,Serbia,187358,77.0,2016
94406,31.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,193.0,Gold,USA,"Michael Fred Phelps, II",Summer,M,Swimming,United States,187916,91.0,2016
94426,25.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,164.0,Bronze,GBR,Asha Solette Philip,Summer,F,Athletics,Great Britain,187953,67.0,2016
94549,25.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,208.0,Silver,ITA,Matteo Piano,Summer,M,Volleyball,Italy,188200,102.0,2016
94653,22.0,Rio de Janeiro,Taekwondo Men's Flyweight,2016 Summer,183.0,Bronze,DOM,Luisito Pi,Summer,M,Taekwondo,Dominican Republic,188431,57.0,2016
94713,20.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,188.0,Gold,USA,Blake Pieroni,Summer,M,Swimming,United States,188547,86.0,2016
94948,27.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,181.0,Silver,FRA,Allison Marie Pineau,Summer,F,Handball,France,189021,66.0,2016
95532,30.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,191.0,Gold,USA,David Edward Plummer,Summer,M,Swimming,United States,190202,95.0,2016
95862,30.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,180.0,Gold,USA,Amanda Polk,Summer,F,Rowing,United States,190848,84.0,2016
96123,20.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,185.0,Bronze,ROU,Iuliana Popa,Summer,F,Rowing,Romania,191412,72.0,2016
96211,30.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,178.0,Silver,SRB,Silvija Popovi,Summer,F,Volleyball,Serbia,191637,65.0,2016
96287,25.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,190.0,Silver,FRA,Valentin Porte,Summer,M,Handball,France,191781,92.0,2016
96466,35.0,Rio de Janeiro,Boxing Women's Lightweight,2016 Summer,165.0,Bronze,FIN,Mira Potkonen,Summer,F,Boxing,Finland,192127,60.0,2016
96614,33.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,191.0,Gold,JAM,Asafa Kehine Powell,Summer,M,Athletics,Jamaica,192422,93.0,2016
96858,23.0,Rio de Janeiro,Swimming Men's 200 metres Breaststroke,2016 Summer,180.0,Silver,USA,Josh Prenot,Summer,M,Swimming,United States,192894,76.0,2016
96957,38.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,194.0,Bronze,USA,William Reid Priddy,Summer,M,Volleyball,United States,193111,89.0,2016
97242,22.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,165.0,Silver,FRA,Marie Prouvensier,Summer,F,Handball,France,193733,52.0,2016
97745,33.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Freestyle",2016 Summer,180.0,Silver,AZE,Xetaq Qazyumov,Summer,M,Wrestling,Azerbaijan,194758,97.0,2016
97884,20.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,185.0,Silver,ESP,Laura Quevedo Caizares,Summer,F,Basketball,Spain,195047,74.0,2016
98057,23.0,Rio de Janeiro,Boxing Men's Welterweight,2016 Summer,180.0,Bronze,MAR,Mohammed Rabii,Summer,M,Boxing,Morocco,195320,69.0,2016
98178,28.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,170.0,Bronze,SRB,Tamara Radoaj,Summer,F,Basketball,Serbia,195573,60.0,2016
98227,28.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,213.0,Silver,SRB,Miroslav Raduljica,Summer,M,Basketball,Serbia,195659,130.0,2016
98343,27.0,Rio de Janeiro,"Wrestling Men's Featherweight, Freestyle",2016 Summer,165.0,Bronze,IRI,Hassan Sabzali Rahimi,Summer,M,Wrestling,Iran,195865,62.0,2016
98419,30.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,187.0,Bronze,FRA,Guillaume Louis  Benoit Raineau,Summer,M,Rowing,France,196006,71.0,2016
98437,22.0,Rio de Janeiro,Gymnastics Women's Floor Exercise,2016 Summer,157.0,Silver,USA,"Alexandra Rose ""Aly"" Raisman",Summer,F,Gymnastics,United States,196049,52.0,2016
